PEDIDO;PRODUTO;QUANTIDADE;PREÇO UNITÁRIO;DATA E HORA COMPRA;CIDADE;CÓDIGO CLIENTE
248151;Pilhas AA (pacote com 4);4;19,77;27/09/2023 19:35;São Paulo;90001
248152;Cabo de carregamento USB-C;2;61,54;30/09/2023 01:16;Rio de Janeiro;73301
248153;Cabo de carregamento USB-C;1;61,54;22/11/2022 06:05;São Paulo;90001
248154;Monitor FHD de 27 polegadas;1;772,44;05/07/2023 17:10;Belo Horizonte;98101
248155;Cabo de carregamento USB-C;1;61,54;04/07/2023 21:46;Campinas;30301
248156;Monitor ultralargo de 34 pol.;1;1956,94;02/05/2023 06:32;São Paulo;90001
248157;Cabo de carregamento Lightning;1;76,99;06/04/2023 15:33;Bahia;4101
248158;Cabo de carregamento Lightning;1;76,99;08/03/2023 18:00;São Paulo;90001
248159;Telefone Motorola X;1;2060;29/03/2023 07:41;Manaus;10001
248160;Fones de ouvido com fio;1;61,74;21/02/2023 10:05;Fortaleza;94016
248161;Cabo de carregamento USB-C;1;61,54;27/12/2022 17:53;Fortaleza;94016
248162;Baterias AAA (pacote com 4);3;15,39;18/04/2023 19:06;Belo Horizonte;98101
248163;Cabo de carregamento USB-C;1;61,54;25/07/2023 14:08;Bahia;97035
248164;Monitor FHD de 27 polegadas;1;772,44;14/04/2023 02:22;Fortaleza;94016
248165;Cabo de carregamento Lightning;1;76,99;17/11/2022 18:36;Campinas;30301
248166;Fones de ouvido Apple Airpods;1;772,5;13/03/2023 11:32;Salvador;2215
248167;Xiaomi Redmi 10;1;3090;12/07/2023 22:40;Fortaleza;94016
248168;Cabo de carregamento USB-C;1;61,54;07/02/2023 10:01;Fortaleza;94016
248169;Monitor de 20 polegadas;1;566,44;04/04/2023 01:54;Fortaleza;94016
248170;Baterias AAA (pacote com 4);1;15,39;07/07/2023 22:55;Salvador;2215
248171;Cabo de carregamento USB-C;1;61,54;11/02/2023 07:15;Manaus;10001
248171;Cabo de carregamento USB-C;1;61,54;30/04/2023 21:23;Manaus;10001
248172;Fones de ouvido com fio;1;61,74;02/01/2023 22:43;Salvador;2215
248173;Fones de ouvido Apple Airpods;1;772,5;21/08/2023 04:01;Campinas;30301
248174;Fones de ouvido Bose SoundSport;1;514,94;07/01/2023 23:28;Florianópolis;75001
248175;iPhone;1;9890;28/06/2023 04:25;Rio de Janeiro;73301
248176;Pilhas AA (pacote com 4);2;19,77;03/12/2022 17:23;Fortaleza;94016
248177;Cabo de carregamento USB-C;1;61,54;20/04/2023 09:37;Fortaleza;94016
248178;Fones de ouvido Apple Airpods;1;772,5;18/07/2023 06:52;São Paulo;90001
248179;Monitor FHD de 27 polegadas;1;772,44;15/01/2023 23:51;Manaus;10001
248180;Cabo de carregamento USB-C;1;61,54;19/08/2023 12:23;Manaus;10001
248181;Fones de ouvido Apple Airpods;1;772,5;26/06/2023 01:29;Manaus;10001
248182;Fones de ouvido Apple Airpods;1;772,5;23/01/2023 09:23;Manaus;10001
248183;Monitor ultralargo de 34 pol.;1;1956,94;07/07/2023 22:15;Fortaleza;94016
248184;Pilhas AA (pacote com 4);1;19,77;26/01/2023 08:39;Manaus;10001
248185;Monitor ultralargo de 34 pol.;1;1956,94;08/09/2023 21:20;Manaus;10001
248186;Cabo de carregamento USB-C;1;61,54;26/04/2023 05:18;Belo Horizonte;98101
248187;Baterias AAA (pacote com 4);3;15,39;21/11/2022 19:12;São Paulo;90001
248188;Fones de ouvido Apple Airpods;1;772,5;26/01/2023 23:11;Fortaleza;94016
248189;Xiaomi Redmi 10;1;3090;14/11/2022 22:29;Fortaleza;94016
248190;Fones de ouvido Bose SoundSport;1;514,94;03/04/2023 11:52;Manaus;10001
248191;Baterias AAA (pacote com 4);1;15,39;15/11/2022 06:00;Fortaleza;94016
248192;Baterias AAA (pacote com 4);2;15,39;12/12/2022 21:59;Rio de Janeiro;73301
248193;Cabo de carregamento USB-C;1;61,54;07/09/2023 13:04;Fortaleza;94016
248194;Monitor de 20 polegadas;1;566,44;06/08/2023 02:18;Florianópolis;75001
248195;Laptop ThinkPad;1;5149,94;29/09/2023 04:55;Florianópolis;75001
248196;Cabo de carregamento Lightning;1;76,99;12/10/2022 07:54;Florianópolis;75001
248197;Fones de ouvido Apple Airpods;1;772,5;19/05/2023 09:07;Bahia;97035
248198;Baterias AAA (pacote com 4);1;15,39;02/09/2023 13:14;Bahia;97035
248199;Xiaomi Redmi 10;1;3090;28/01/2023 11:38;Salvador;2215
248200;Cabo de carregamento Lightning;1;76,99;18/07/2023 04:58;Campinas;30301
248201;Fones de ouvido Bose SoundSport;1;514,94;14/05/2023 16:20;Manaus;10001
248202;Monitor FHD de 27 polegadas;1;772,44;13/01/2023 23:52;São Paulo;90001
248203;Fones de ouvido Apple Airpods;1;772,5;20/06/2023 07:26;Manaus;10001
248204;Laptop Macbook Pro;1;8755;17/01/2023 09:59;Belo Horizonte;98101
248205;Pilhas AA (pacote com 4);3;19,77;06/11/2022 12:52;Campinas;30301
248206;Baterias AAA (pacote com 4);1;15,39;04/12/2022 23:24;Fortaleza;94016
248207;TV de tela plana;1;1545;05/12/2022 22:16;São Paulo;90001
248208;Laptop Macbook Pro;1;8755;09/09/2023 12:02;Bahia;4101
248209;Fones de ouvido Apple Airpods;1;772,5;10/07/2023 11:37;Fortaleza;94016
248210;iPhone;1;9890;25/12/2022 23:10;Fortaleza;94016
248210;Cabo de carregamento Lightning;1;76,99;05/02/2023 21:01;Fortaleza;94016
248211;Pilhas AA (pacote com 4);1;19,77;24/10/2022 12:43;Fortaleza;94016
248212;Cabo de carregamento USB-C;3;61,54;20/04/2023 11:36;Salvador;2215
248213;Monitor para jogos 4K de 27 polegadas;1;2008,44;10/08/2023 22:34;São Paulo;90001
248214;Cabo de carregamento Lightning;1;76,99;07/06/2023 05:57;Fortaleza;94016
248215;Monitor ultralargo de 34 pol.;1;1956,94;24/11/2022 09:49;Fortaleza;94016
248216;Baterias AAA (pacote com 4);1;15,39;20/09/2023 16:46;Fortaleza;94016
248217;Fones de ouvido Apple Airpods;1;772,5;09/09/2023 06:45;Salvador;2215
248218;Pilhas AA (pacote com 4);1;19,77;07/02/2023 03:45;Manaus;10001
