PEDIDO;PRODUTO;QUANTIDADE;PREÇO UNITÁRIO;DATA E HORA COMPRA;CIDADE;CÓDIGO CLIENTE;MES;REFERENCIA
248151;Pilhas AA (pacote com 4);4;19,77;27/09/2023 19:35;São Paulo;90001;9;202309
248152;Cabo de carregamento USB-C;2;61,54;30/09/2023 01:16;Rio de Janeiro;73301;9;202309
248153;Cabo de carregamento USB-C;1;61,54;22/11/2022 06:05;São Paulo;90001;11;202211
248154;Monitor FHD de 27 polegadas;1;772,44;05/07/2023 17:10;Belo Horizonte;98101;7;202307
248155;Cabo de carregamento USB-C;1;61,54;04/07/2023 21:46;Campinas;30301;7;202307
248156;Monitor ultralargo de 34 pol.;1;1956,94;02/05/2023 06:32;São Paulo;90001;5;202305
248157;Cabo de carregamento Lightning;1;76,99;06/04/2023 15:33;Bahia;4101;4;202304
248158;Cabo de carregamento Lightning;1;76,99;08/03/2023 18:00;São Paulo;90001;3;202303
248159;Telefone Motorola X;1;2060;29/03/2023 07:41;Manaus;10001;3;202303
248160;Fones de ouvido com fio;1;61,74;21/02/2023 10:05;Fortaleza;94016;2;202302
248161;Cabo de carregamento USB-C;1;61,54;27/12/2022 17:53;Fortaleza;94016;12;202212
248162;Baterias AAA (pacote com 4);3;15,39;18/04/2023 19:06;Belo Horizonte;98101;4;202304
248163;Cabo de carregamento USB-C;1;61,54;25/07/2023 14:08;Bahia;97035;7;202307
248164;Monitor FHD de 27 polegadas;1;772,44;14/04/2023 02:22;Fortaleza;94016;4;202304
248165;Cabo de carregamento Lightning;1;76,99;17/11/2022 18:36;Campinas;30301;11;202211
248166;Fones de ouvido Apple Airpods;1;772,5;13/03/2023 11:32;Salvador;2215;3;202303
248167;Xiaomi Redmi 10;1;3090;12/07/2023 22:40;Fortaleza;94016;7;202307
248168;Cabo de carregamento USB-C;1;61,54;07/02/2023 10:01;Fortaleza;94016;2;202302
248169;Monitor de 20 polegadas;1;566,44;04/04/2023 01:54;Fortaleza;94016;4;202304
248170;Baterias AAA (pacote com 4);1;15,39;07/07/2023 22:55;Salvador;2215;7;202307
248171;Cabo de carregamento USB-C;1;61,54;11/02/2023 07:15;Manaus;10001;2;202302
248171;Cabo de carregamento USB-C;1;61,54;30/04/2023 21:23;Manaus;10001;4;202304
248172;Fones de ouvido com fio;1;61,74;02/01/2023 22:43;Salvador;2215;1;202301
248173;Fones de ouvido Apple Airpods;1;772,5;21/08/2023 04:01;Campinas;30301;8;202308
248174;Fones de ouvido Bose SoundSport;1;514,94;07/01/2023 23:28;Florianópolis;75001;1;202301
248175;iPhone;1;9890;28/06/2023 04:25;Rio de Janeiro;73301;6;202306
248176;Pilhas AA (pacote com 4);2;19,77;03/12/2022 17:23;Fortaleza;94016;12;202212
248177;Cabo de carregamento USB-C;1;61,54;20/04/2023 09:37;Fortaleza;94016;4;202304
248178;Fones de ouvido Apple Airpods;1;772,5;18/07/2023 06:52;São Paulo;90001;7;202307
248179;Monitor FHD de 27 polegadas;1;772,44;15/01/2023 23:51;Manaus;10001;1;202301
248180;Cabo de carregamento USB-C;1;61,54;19/08/2023 12:23;Manaus;10001;8;202308
248181;Fones de ouvido Apple Airpods;1;772,5;26/06/2023 01:29;Manaus;10001;6;202306
248182;Fones de ouvido Apple Airpods;1;772,5;23/01/2023 09:23;Manaus;10001;1;202301
248183;Monitor ultralargo de 34 pol.;1;1956,94;07/07/2023 22:15;Fortaleza;94016;7;202307
248184;Pilhas AA (pacote com 4);1;19,77;26/01/2023 08:39;Manaus;10001;1;202301
248185;Monitor ultralargo de 34 pol.;1;1956,94;08/09/2023 21:20;Manaus;10001;9;202309
248186;Cabo de carregamento USB-C;1;61,54;26/04/2023 05:18;Belo Horizonte;98101;4;202304
248187;Baterias AAA (pacote com 4);3;15,39;21/11/2022 19:12;São Paulo;90001;11;202211
248188;Fones de ouvido Apple Airpods;1;772,5;26/01/2023 23:11;Fortaleza;94016;1;202301
248189;Xiaomi Redmi 10;1;3090;14/11/2022 22:29;Fortaleza;94016;11;202211
248190;Fones de ouvido Bose SoundSport;1;514,94;03/04/2023 11:52;Manaus;10001;4;202304
248191;Baterias AAA (pacote com 4);1;15,39;15/11/2022 06:00;Fortaleza;94016;11;202211
248192;Baterias AAA (pacote com 4);2;15,39;12/12/2022 21:59;Rio de Janeiro;73301;12;202212
248193;Cabo de carregamento USB-C;1;61,54;07/09/2023 13:04;Fortaleza;94016;9;202309
248194;Monitor de 20 polegadas;1;566,44;06/08/2023 02:18;Florianópolis;75001;8;202308
248195;Laptop ThinkPad;1;5149,94;29/09/2023 04:55;Florianópolis;75001;9;202309
248196;Cabo de carregamento Lightning;1;76,99;12/10/2022 07:54;Florianópolis;75001;10;202210
248197;Fones de ouvido Apple Airpods;1;772,5;19/05/2023 09:07;Bahia;97035;5;202305
248198;Baterias AAA (pacote com 4);1;15,39;02/09/2023 13:14;Bahia;97035;9;202309
248199;Xiaomi Redmi 10;1;3090;28/01/2023 11:38;Salvador;2215;1;202301
248200;Cabo de carregamento Lightning;1;76,99;18/07/2023 04:58;Campinas;30301;7;202307
248201;Fones de ouvido Bose SoundSport;1;514,94;14/05/2023 16:20;Manaus;10001;5;202305
248202;Monitor FHD de 27 polegadas;1;772,44;13/01/2023 23:52;São Paulo;90001;1;202301
248203;Fones de ouvido Apple Airpods;1;772,5;20/06/2023 07:26;Manaus;10001;6;202306
